EGFR	ECadhe	Estroge	GATA3	Histone1	Ki67	SMA	Vimenti	cleaved	cerbB	p53	panCyto	Cytoker1	Progest	cMyc	Fibrone	Keratin	Slug	CD20	vWF	Histone2	Cytoker2	CD44	CD45	CD68	CD3epsi	Carboni	Cytoker3	Cytoker4
0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1
0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1
1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	1
0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1
0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1
0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0
0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0
0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1
0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1
0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1
0	1	1	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1
0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0
0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1
0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1
0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1
1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1
0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1
0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0
0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1
0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0
0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0
0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1
1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1
0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0
0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0
0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	0	1	1	1
0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1	0	0	0
1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1
0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1
0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1
1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1
1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1
0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1
0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1
0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1
0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	1	1
0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1
0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1
0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0
0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1
1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1
1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1
1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0
1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	0	0	0
1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1
1	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1
1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1
0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0
0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1
1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1
0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1
0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0
0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1
0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1
0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0
0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1
0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0
0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	1
0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0
0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0
0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
0	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0
0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1
0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1
0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1
0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0
0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1
0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1
0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
0	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0
0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1
0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1
1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0
0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1
0	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1
0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1
0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0
0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0
0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0
0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1
0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0
1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1
1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1
1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0
1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1
1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1
1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1
1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0
1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0
0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0
1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1
1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
